subject,perceptiontype,pause,turning,brightening,blinking,circling,_eye,_behavior,expwithrobot,ownrobot,informationsource,laborhelp,age,gender,major,eyecontact,owndog,expwithvoiceassistant,expwaiter,expvolunteer,interruptforhelp,owncat
P1,receiving,6,6,5,5,4,2,2,4,No,"Search Engine like Google, Bing",Robot,25,Male,Computer Science,6,No,6,No,Yes,No,No
P1,respect,7,6,6,6,4,2,2,4,No,"Search Engine like Google, Bing",Robot,25,Male,Computer Science,6,No,6,No,Yes,No,No
P1,willing,6,6,6,6,3,2,2,4,No,"Search Engine like Google, Bing",Robot,25,Male,Computer Science,6,No,6,No,Yes,No,No
P2,receiving,7,7,7,7,7,7,7,4,No,"Search Engine like Google, Bing",My mother,21,Female,ECE,4,Yes,2,No,Yes,Yes,No
P2,respect,7,7,7,7,7,7,6,4,No,"Search Engine like Google, Bing",My mother,21,Female,ECE,4,Yes,2,No,Yes,Yes,No
P2,willing,7,7,7,7,5,7,7,4,No,"Search Engine like Google, Bing",My mother,21,Female,ECE,4,Yes,2,No,Yes,Yes,No
P3,receiving,6,7,5,5,5,1,2,4,No,Human,Human,30,Male,Mechanical engineering,6,Yes,2,No,Yes,Maybe,No
P3,respect,2,5,5,5,3,3,4,4,No,Human,Human,30,Male,Mechanical engineering,6,Yes,2,No,Yes,Maybe,No
P3,willing,6,7,7,3,2,3,2,4,No,Human,Human,30,Male,Mechanical engineering,6,Yes,2,No,Yes,Maybe,No
P4,receiving,7,7,7,4,1,5,1,3,No,"Search Engine like Google, Bing",Human,21,Male,Computer Science,6,No,5,No,No,No,No
P4,respect,6,6,6,3,2,3,2,3,No,"Search Engine like Google, Bing",Human,21,Male,Computer Science,6,No,5,No,No,No,No
P4,willing,7,7,7,3,3,3,1,3,No,"Search Engine like Google, Bing",Human,21,Male,Computer Science,6,No,5,No,No,No,No
P5,receiving,5,5,5,3,3,3,2,3,No,"Search Engine like Google, Bing",Human,25,Female,Computer Science,3,Yes,1,No,Yes,No,Yes
P5,respect,5,5,5,4,4,3,3,3,No,"Search Engine like Google, Bing",Human,25,Female,Computer Science,3,Yes,1,No,Yes,No,Yes
P5,willing,5,5,5,3,3,3,2,3,No,"Search Engine like Google, Bing",Human,25,Female,Computer Science,3,Yes,1,No,Yes,No,Yes
P6,receiving,7,7,6,7,7,1,1,2,No,"Search Engine like Google, Bing",Robot,21,Female,Computer Science,6,Yes,4,No,Yes,Maybe,No
P6,respect,5,7,6,6,7,2,2,2,No,"Search Engine like Google, Bing",Robot,21,Female,Computer Science,6,Yes,4,No,Yes,Maybe,No
P6,willing,7,7,6,6,7,1,1,2,No,"Search Engine like Google, Bing",Robot,21,Female,Computer Science,6,Yes,4,No,Yes,Maybe,No
P7,receiving,7,7,1,2,5,1,2,6,No,"Search Engine like Google, Bing",Robot,29,Male,Computer Science,6,No,5,No,Yes,No,No
